daxing_stationId,daxing_utc_time,daxing_PM2.5,daxing_PM10,daxing_NO2,daxing_CO,daxing_O3,daxing_SO2,daxing_temperature,daxing_pressure,daxing_humidity,daxing_wind_direction,daxing_wind_speed,fangshan_stationId,fangshan_utc_time,fangshan_PM2.5,fangshan_PM10,fangshan_NO2,fangshan_CO,fangshan_O3,fangshan_SO2,fangshan_temperature,fangshan_pressure,fangshan_humidity,fangshan_wind_direction,fangshan_wind_speed,huairou_stationId,huairou_utc_time,huairou_PM2.5,huairou_PM10,huairou_NO2,huairou_CO,huairou_O3,huairou_SO2,huairou_temperature,huairou_pressure,huairou_humidity,huairou_wind_direction,huairou_wind_speed,mentougou_stationId,mentougou_utc_time,mentougou_PM2.5,mentougou_PM10,mentougou_NO2,mentougou_CO,mentougou_O3,mentougou_SO2,mentougou_temperature,mentougou_pressure,mentougou_humidity,mentougou_wind_direction,mentougou_wind_speed,miyun_stationId,miyun_utc_time,miyun_PM2.5,miyun_PM10,miyun_NO2,miyun_CO,miyun_O3,miyun_SO2,miyun_temperature,miyun_pressure,miyun_humidity,miyun_wind_direction,miyun_wind_speed,pingchang_stationId,pingchang_utc_time,pingchang_PM2.5,pingchang_PM10,pingchang_NO2,pingchang_CO,pingchang_O3,pingchang_SO2,pingchang_temperature,pingchang_pressure,pingchang_humidity,pingchang_wind_direction,pingchang_wind_speed,pinggu_stationId,pinggu_utc_time,pinggu_PM2.5,pinggu_PM10,pinggu_NO2,pinggu_CO,pinggu_O3,pinggu_SO2,pinggu_temperature,pinggu_pressure,pinggu_humidity,pinggu_wind_direction,pinggu_wind_speed,shunyi_stationId,shunyi_utc_time,shunyi_PM2.5,shunyi_PM10,shunyi_NO2,shunyi_CO,shunyi_O3,shunyi_SO2,shunyi_temperature,shunyi_pressure,shunyi_humidity,shunyi_wind_direction,shunyi_wind_speed,tongzhou_stationId,tongzhou_utc_time,tongzhou_PM2.5,tongzhou_PM10,tongzhou_NO2,tongzhou_CO,tongzhou_O3,tongzhou_SO2,tongzhou_temperature,tongzhou_pressure,tongzhou_humidity,tongzhou_wind_direction,tongzhou_wind_speed
daxing,2017-01-31 02:00:00,123.0,127.0,32.0,1.9,36.0,43.0,-1.1,1024.9,20.0,246.0,1.9,fangshan,2017-01-31 02:00:00,137.0,143.0,54.0,0.2,24.0,46.0,-0.8,1023.5,20.0,228.0,0.8,huairou,2017-01-31 02:00:00,72.0,87.0,35.0,1.2,29.0,17.0,-1.8,1019.9,23.0,131.0,1.3,mentougou,2017-01-31 02:00:00,67.0,,29.0,1.3,45.0,27.0,-1.1,1018.7,17.0,309.0,0.7,miyun,2017-01-31 02:00:00,66.0,87.0,31.0,1.2,31.0,17.0,-2.8,1020.6,28.0,68.0,1.4,pingchang,2017-01-31 02:00:00,84.0,109.0,54.0,2.1,19.0,55.0,-0.6,1019.7,20.0,218.0,1.7,pinggu,2017-01-31 02:00:00,181.0,,58.0,3.9,27.0,63.0,-2.5,1025.7,24.0,248.0,0.8,shunyi,2017-01-31 02:00:00,96.0,,29.0,2.2,43.0,26.0,-1.7,1025.8,20.0,73.0,1.2,tongzhou,2017-01-31 02:00:00,139.0,,55.0,2.1,26.0,45.0,-1.1,1027.0,20.0,251.0,2.0
daxing,2017-01-31 03:00:00,127.0,,31.0,1.8,48.0,48.0,0.1,1024.7,16.0,264.0,1.6,fangshan,2017-01-31 03:00:00,149.0,,40.0,1.6,50.0,47.0,0.6,1023.3,15.0,256.0,1.3,huairou,2017-01-31 03:00:00,80.0,98.0,30.0,1.1,51.0,19.0,-0.2,1019.7,16.0,123.0,2.2,mentougou,2017-01-31 03:00:00,74.0,81.0,38.0,0.1,59.0,24.0,0.7,1018.7,14.0,145.0,1.7,miyun,2017-01-31 03:00:00,76.0,98.0,30.0,1.1,50.0,32.0,-0.5,1020.2,17.0,90.0,1.3,pingchang,2017-01-31 03:00:00,89.0,98.0,55.0,0.2,23.0,50.0,1.3,1019.5,16.0,175.0,1.8,pinggu,2017-01-31 03:00:00,160.0,,46.0,2.6,45.0,45.0,0.0,1025.3,18.0,232.0,1.6,shunyi,2017-01-31 03:00:00,104.0,,27.0,1.9,61.0,28.0,0.4,1025.7,16.0,236.0,0.5,tongzhou,2017-01-31 03:00:00,143.0,,63.0,2.1,32.0,48.0,0.6,1026.9,17.0,259.0,2.0
daxing,2017-01-31 04:00:00,114.0,,27.0,1.5,62.0,41.0,1.9,1023.6,14.0,221.0,1.3,fangshan,2017-01-31 04:00:00,97.0,,37.0,1.1,64.0,38.0,1.7,1022.2,11.0,230.0,1.9,huairou,2017-01-31 04:00:00,80.0,99.0,26.0,0.1,66.0,21.0,0.9,1018.7,15.0,133.0,2.1,mentougou,2017-01-31 04:00:00,79.0,,34.0,0.1,67.0,23.0,1.7,1017.6,14.0,102.0,2.4,miyun,2017-01-31 04:00:00,85.0,99.0,26.0,0.1,69.0,31.0,1.1,1019.4,14.0,13.0,1.4,pingchang,2017-01-31 04:00:00,74.0,75.0,47.0,1.7,33.0,42.0,3.3,1018.4,14.0,232.0,1.5,pinggu,2017-01-31 04:00:00,134.0,,31.0,1.5,70.0,35.0,1.2,1024.4,15.0,258.0,2.6,shunyi,2017-01-31 04:00:00,82.0,,26.0,1.4,70.0,26.0,1.5,1024.8,15.0,93.0,0.9,tongzhou,2017-01-31 04:00:00,115.0,,59.0,1.7,43.0,41.0,2.1,1025.9,14.0,234.0,2.2
daxing,2017-01-31 05:00:00,89.0,95.0,23.0,1.2,73.0,32.0,3.6,1022.5,12.0,136.0,1.4,fangshan,2017-01-31 05:00:00,86.0,,33.0,0.9,74.0,42.0,3.7,1021.1,10.0,180.0,1.3,huairou,2017-01-31 05:00:00,70.0,79.0,24.0,0.9,74.0,19.0,2.6,1017.3,13.0,128.0,1.9,mentougou,2017-01-31 05:00:00,92.0,95.0,34.0,0.1,71.0,23.0,2.7,1016.4,13.0,97.0,2.4,miyun,2017-01-31 05:00:00,72.0,79.0,23.0,0.8,78.0,24.0,2.4,1018.0,13.0,29.0,1.4,pingchang,2017-01-31 05:00:00,60.0,,35.0,1.2,46.0,32.0,4.8,1016.9,12.0,235.0,1.2,pinggu,2017-01-31 05:00:00,111.0,,24.0,1.2,81.0,29.0,2.6,1023.1,14.0,250.0,3.4,shunyi,2017-01-31 05:00:00,72.0,,25.0,1.2,75.0,24.0,3.4,1023.3,13.0,182.0,1.3,tongzhou,2017-01-31 05:00:00,93.0,,51.0,1.4,52.0,36.0,3.1,1024.7,13.0,241.0,2.1
daxing,2017-01-31 06:00:00,84.0,,25.0,1.1,75.0,29.0,4.3,1021.6,12.0,275.0,0.8,fangshan,2017-01-31 06:00:00,82.0,,27.0,0.9,87.0,34.0,4.1,1020.3,10.0,231.0,1.7,huairou,2017-01-31 06:00:00,68.0,82.0,24.0,0.9,80.0,19.0,3.6,1016.5,12.0,73.0,1.3,mentougou,2017-01-31 06:00:00,92.0,,34.0,0.9,78.0,23.0,3.9,1015.7,12.0,174.0,1.9,miyun,2017-01-31 06:00:00,62.0,82.0,22.0,0.8,81.0,22.0,3.4,1017.2,12.0,132.0,1.2,pingchang,2017-01-31 06:00:00,44.0,,30.0,0.9,53.0,21.0,6.4,1016.1,8.0,283.0,4.1,pinggu,2017-01-31 06:00:00,87.0,,24.0,0.9,83.0,24.0,3.8,1022.2,12.0,255.0,3.1,shunyi,2017-01-31 06:00:00,66.0,,26.0,1.1,79.0,24.0,4.7,1022.4,12.0,255.0,1.6,tongzhou,2017-01-31 06:00:00,90.0,,52.0,1.3,57.0,34.0,3.9,1023.8,12.0,252.0,2.1
daxing,2017-01-31 07:00:00,75.0,82.0,25.0,0.1,77.0,26.0,4.8,1021.3,12.0,211.0,1.2,fangshan,2017-01-31 07:00:00,79.0,,26.0,0.9,95.0,33.0,4.4,1020.0,10.0,240.0,1.8,huairou,2017-01-31 07:00:00,60.0,81.0,28.0,0.9,77.0,20.0,3.7,1016.2,12.0,87.0,2.0,mentougou,2017-01-31 07:00:00,80.0,81.0,32.0,0.7,82.0,23.0,4.4,1015.3,11.0,150.0,1.9,miyun,2017-01-31 07:00:00,54.0,81.0,23.0,0.7,79.0,21.0,4.0,1016.9,11.0,63.0,1.8,pingchang,2017-01-31 07:00:00,20.0,37.0,23.0,0.7,59.0,13.0,7.1,1015.8,9.0,279.0,3.9,pinggu,2017-01-31 07:00:00,63.0,,20.0,0.6,82.0,21.0,4.5,1021.8,12.0,250.0,3.1,shunyi,2017-01-31 07:00:00,65.0,,30.0,1.1,77.0,24.0,5.7,1021.8,11.0,301.0,2.0,tongzhou,2017-01-31 07:00:00,79.0,,45.0,1.1,64.0,29.0,5.0,1023.3,11.0,245.0,2.1
daxing,2017-01-31 08:00:00,69.0,82.0,24.0,0.9,81.0,24.0,4.6,1021.7,12.0,182.0,1.9,fangshan,2017-01-31 08:00:00,88.0,,27.0,0.9,99.0,36.0,4.1,1020.4,12.0,221.0,3.2,huairou,2017-01-31 08:00:00,57.0,74.0,26.0,0.8,81.0,21.0,3.8,1016.4,12.0,105.0,2.6,mentougou,2017-01-31 08:00:00,81.0,96.0,34.0,0.7,88.0,23.0,4.3,1015.8,12.0,169.0,3.3,miyun,2017-01-31 08:00:00,49.0,61.0,25.0,0.7,79.0,27.0,3.9,1016.9,12.0,96.0,1.4,pingchang,2017-01-31 08:00:00,27.0,48.0,25.0,0.7,58.0,15.0,6.7,1016.1,10.0,288.0,4.2,pinggu,2017-01-31 08:00:00,56.0,,18.0,0.5,82.0,18.0,4.9,1021.7,11.0,299.0,2.8,shunyi,2017-01-31 08:00:00,62.0,68.0,27.0,0.1,80.0,23.0,5.7,1022.1,11.0,311.0,1.9,tongzhou,2017-01-31 08:00:00,72.0,,47.0,0.1,63.0,26.0,5.4,1023.5,10.0,252.0,2.0
daxing,2017-01-31 09:00:00,81.0,105.0,27.0,0.1,84.0,30.0,3.3,1022.5,15.0,222.0,1.7,fangshan,2017-01-31 09:00:00,96.0,110.0,32.0,0.1,97.0,37.0,2.6,1021.1,14.0,222.0,2.6,huairou,2017-01-31 09:00:00,56.0,71.0,28.0,0.8,77.0,20.0,3.2,1017.2,12.0,91.0,1.2,mentougou,2017-01-31 09:00:00,87.0,99.0,40.0,0.7,97.0,27.0,3.3,1016.4,13.0,188.0,3.4,miyun,2017-01-31 09:00:00,47.0,64.0,26.0,0.6,75.0,23.0,2.4,1017.7,13.0,24.0,0.5,pingchang,2017-01-31 09:00:00,23.0,51.0,27.0,0.7,57.0,15.0,5.7,1017.2,10.0,281.0,3.5,pinggu,2017-01-31 09:00:00,56.0,,20.0,0.5,80.0,17.0,3.9,1022.8,13.0,274.0,1.5,shunyi,2017-01-31 09:00:00,68.0,,26.0,0.1,81.0,23.0,3.8,1023.1,14.0,55.0,1.7,tongzhou,2017-01-31 09:00:00,77.0,80.0,52.0,0.1,60.0,26.0,3.3,1024.3,13.0,224.0,1.9
daxing,2017-01-31 10:00:00,87.0,113.0,35.0,1.1,75.0,32.0,1.5,1023.1,17.0,244.0,1.6,fangshan,2017-01-31 10:00:00,108.0,134.0,51.0,1.8,75.0,40.0,0.7,1021.8,16.0,218.0,2.0,huairou,2017-01-31 10:00:00,52.0,78.0,53.0,0.1,41.0,21.0,-0.2,1018.1,22.0,308.0,1.9,mentougou,2017-01-31 10:00:00,90.0,106.0,56.0,0.9,70.0,31.0,1.9,1017.0,15.0,206.0,4.2,miyun,2017-01-31 10:00:00,47.0,69.0,44.0,0.8,51.0,28.0,-2.6,1018.7,20.0,28.0,1.1,pingchang,2017-01-31 10:00:00,23.0,43.0,26.0,0.7,55.0,12.0,3.8,1018.2,11.0,14.0,1.9,pinggu,2017-01-31 10:00:00,68.0,85.0,34.0,0.9,65.0,29.0,0.6,1023.5,17.0,252.0,1.3,shunyi,2017-01-31 10:00:00,67.0,68.0,28.0,0.1,76.0,23.0,0.4,1024.0,19.0,292.0,0.5,tongzhou,2017-01-31 10:00:00,87.0,90.0,47.0,0.1,67.0,29.0,0.8,1025.1,17.0,242.0,1.3
daxing,2017-01-31 11:00:00,88.0,114.0,36.0,1.1,70.0,34.0,0.0,1023.8,20.0,260.0,2.1,fangshan,2017-01-31 11:00:00,120.0,143.0,71.0,1.5,49.0,43.0,0.7,1022.6,18.0,217.0,1.0,huairou,2017-01-31 11:00:00,81.0,104.0,52.0,1.5,35.0,24.0,-2.4,1019.0,23.0,317.0,2.2,mentougou,2017-01-31 11:00:00,95.0,127.0,80.0,1.1,36.0,33.0,0.5,1018.0,18.0,223.0,1.7,miyun,2017-01-31 11:00:00,69.0,99.0,53.0,1.3,33.0,23.0,-5.0,1019.7,25.0,114.0,0.8,pingchang,2017-01-31 11:00:00,11.0,32.0,16.0,0.4,62.0,5.0,2.5,1019.4,12.0,339.0,2.2,pinggu,2017-01-31 11:00:00,91.0,113.0,41.0,1.2,57.0,33.0,-1.5,1024.4,21.0,303.0,1.3,shunyi,2017-01-31 11:00:00,69.0,77.0,62.0,1.2,42.0,23.0,-2.2,1024.9,34.0,999017.0,0.2,tongzhou,2017-01-31 11:00:00,97.0,117.0,49.0,1.2,66.0,37.0,-1.2,1025.8,23.0,127.0,1.2
daxing,2017-01-31 12:00:00,115.0,151.0,56.0,1.5,47.0,46.0,0.4,1024.7,20.0,256.0,1.9,fangshan,2017-01-31 12:00:00,136.0,161.0,66.0,1.5,49.0,49.0,-2.5,1023.5,23.0,999017.0,0.2,huairou,2017-01-31 12:00:00,97.0,118.0,58.0,1.6,21.0,20.0,-1.4,1020.1,18.0,84.0,1.4,mentougou,2017-01-31 12:00:00,49.0,,38.0,0.4,59.0,13.0,-0.9,1019.0,23.0,182.0,1.1,miyun,2017-01-31 12:00:00,83.0,105.0,53.0,1.3,28.0,20.0,-5.2,1020.8,29.0,104.0,1.7,pingchang,2017-01-31 12:00:00,14.0,34.0,17.0,0.5,59.0,8.0,0.6,1020.3,15.0,270.0,0.5,pinggu,2017-01-31 12:00:00,112.0,,49.0,1.7,44.0,40.0,-3.2,1025.4,26.0,264.0,1.7,shunyi,2017-01-31 12:00:00,72.0,,62.0,1.3,40.0,36.0,-2.1,1025.9,28.0,37.0,1.7,tongzhou,2017-01-31 12:00:00,115.0,124.0,56.0,1.4,63.0,46.0,-2.7,1026.7,29.0,244.0,0.7
